dteday,yr,mnth,weekday,registered
2011-01-01,2011,January,Saturday,654
2011-01-02,2011,January,Sunday,670
2011-01-03,2011,January,Monday,1229
2011-01-04,2011,January,Tuesday,1454
2011-01-05,2011,January,Wednesday,1518
2011-01-06,2011,January,Thursday,1518
2011-01-07,2011,January,Friday,1362
2011-01-08,2011,January,Saturday,891
2011-01-09,2011,January,Sunday,768
2011-01-10,2011,January,Monday,1280
2011-01-11,2011,January,Tuesday,1220
2011-01-12,2011,January,Wednesday,1137
2011-01-13,2011,January,Thursday,1368
2011-01-14,2011,January,Friday,1367
2011-01-15,2011,January,Saturday,1026
2011-01-16,2011,January,Sunday,953
2011-01-17,2011,January,Monday,883
2011-01-18,2011,January,Tuesday,674
2011-01-19,2011,January,Wednesday,1572
2011-01-20,2011,January,Thursday,1844
2011-01-21,2011,January,Friday,1468
2011-01-22,2011,January,Saturday,888
2011-01-23,2011,January,Sunday,836
2011-01-24,2011,January,Monday,1330
2011-01-25,2011,January,Tuesday,1799
2011-01-26,2011,January,Wednesday,472
2011-01-27,2011,January,Thursday,416
2011-01-28,2011,January,Friday,1129
2011-01-29,2011,January,Saturday,975
2011-01-30,2011,January,Sunday,956
2011-01-31,2011,January,Monday,1459
2011-02-01,2011,February,Tuesday,1313
2011-02-02,2011,February,Wednesday,1454
2011-02-03,2011,February,Thursday,1489
2011-02-04,2011,February,Friday,1620
2011-02-05,2011,February,Saturday,905
2011-02-06,2011,February,Sunday,1269
2011-02-07,2011,February,Monday,1592
2011-02-08,2011,February,Tuesday,1466
2011-02-09,2011,February,Wednesday,1552
2011-02-10,2011,February,Thursday,1491
2011-02-11,2011,February,Friday,1597
2011-02-12,2011,February,Saturday,1184
2011-02-13,2011,February,Sunday,1192
2011-02-14,2011,February,Monday,1705
2011-02-15,2011,February,Tuesday,1675
2011-02-16,2011,February,Wednesday,1897
2011-02-17,2011,February,Thursday,2216
2011-02-18,2011,February,Friday,2348
2011-02-19,2011,February,Saturday,1103
2011-02-20,2011,February,Sunday,1173
2011-02-21,2011,February,Monday,912
2011-02-22,2011,February,Tuesday,1376
2011-02-23,2011,February,Wednesday,1778
2011-02-24,2011,February,Thursday,1707
2011-02-25,2011,February,Friday,1341
2011-02-26,2011,February,Saturday,1545
2011-02-27,2011,February,Sunday,1708
2011-02-28,2011,February,Monday,1365
2011-03-01,2011,March,Tuesday,1714
2011-03-02,2011,March,Wednesday,1903
2011-03-03,2011,March,Thursday,1562
2011-03-04,2011,March,Friday,1730
2011-03-05,2011,March,Saturday,1437
2011-03-06,2011,March,Sunday,491
2011-03-07,2011,March,Monday,1628
2011-03-08,2011,March,Tuesday,1817
2011-03-09,2011,March,Wednesday,1700
2011-03-10,2011,March,Thursday,577
2011-03-11,2011,March,Friday,1730
2011-03-12,2011,March,Saturday,1408
2011-03-13,2011,March,Sunday,1435
2011-03-14,2011,March,Monday,1687
2011-03-15,2011,March,Tuesday,1767
2011-03-16,2011,March,Wednesday,1871
2011-03-17,2011,March,Thursday,2320
2011-03-18,2011,March,Friday,2355
2011-03-19,2011,March,Saturday,1693
2011-03-20,2011,March,Sunday,1424
2011-03-21,2011,March,Monday,1676
2011-03-22,2011,March,Tuesday,2243
2011-03-23,2011,March,Wednesday,1918
2011-03-24,2011,March,Thursday,1699
2011-03-25,2011,March,Friday,1910
2011-03-26,2011,March,Saturday,1515
2011-03-27,2011,March,Sunday,1221
2011-03-28,2011,March,Monday,1806
2011-03-29,2011,March,Tuesday,2108
2011-03-30,2011,March,Wednesday,1368
2011-03-31,2011,March,Thursday,1506
2011-04-01,2011,April,Friday,1920
2011-04-02,2011,April,Saturday,1354
2011-04-03,2011,April,Sunday,1598
2011-04-04,2011,April,Monday,2381
2011-04-05,2011,April,Tuesday,1628
2011-04-06,2011,April,Wednesday,2395
2011-04-07,2011,April,Thursday,2570
2011-04-08,2011,April,Friday,1299
2011-04-09,2011,April,Saturday,1576
2011-04-10,2011,April,Sunday,1707
2011-04-11,2011,April,Monday,2493
2011-04-12,2011,April,Tuesday,1777
2011-04-13,2011,April,Wednesday,1953
2011-04-14,2011,April,Thursday,2738
2011-04-15,2011,April,Friday,2484
2011-04-16,2011,April,Saturday,674
2011-04-17,2011,April,Sunday,2186
2011-04-18,2011,April,Monday,2760
2011-04-19,2011,April,Tuesday,2795
2011-04-20,2011,April,Wednesday,3331
2011-04-21,2011,April,Thursday,3444
2011-04-22,2011,April,Friday,1506
2011-04-23,2011,April,Saturday,2574
2011-04-24,2011,April,Sunday,2481
2011-04-25,2011,April,Monday,3300
2011-04-26,2011,April,Tuesday,3722
2011-04-27,2011,April,Wednesday,3325
2011-04-28,2011,April,Thursday,3489
2011-04-29,2011,April,Friday,3717
2011-04-30,2011,April,Saturday,3347
2011-05-01,2011,May,Sunday,2213
2011-05-02,2011,May,Monday,3554
2011-05-03,2011,May,Tuesday,3848
2011-05-04,2011,May,Wednesday,2378
2011-05-05,2011,May,Thursday,3819
2011-05-06,2011,May,Friday,3714
2011-05-07,2011,May,Saturday,3102
2011-05-08,2011,May,Sunday,2932
2011-05-09,2011,May,Monday,3698
2011-05-10,2011,May,Tuesday,4109
2011-05-11,2011,May,Wednesday,3632
2011-05-12,2011,May,Thursday,4169
2011-05-13,2011,May,Friday,3413
2011-05-14,2011,May,Saturday,2507
2011-05-15,2011,May,Sunday,2971
2011-05-16,2011,May,Monday,3185
2011-05-17,2011,May,Tuesday,3445
2011-05-18,2011,May,Wednesday,3319
2011-05-19,2011,May,Thursday,3840
2011-05-20,2011,May,Friday,4008
2011-05-21,2011,May,Saturday,3547
2011-05-22,2011,May,Sunday,3084
2011-05-23,2011,May,Monday,3438
2011-05-24,2011,May,Tuesday,3833
2011-05-25,2011,May,Wednesday,4238
2011-05-26,2011,May,Thursday,3919
2011-05-27,2011,May,Friday,3808
2011-05-28,2011,May,Saturday,2757
2011-05-29,2011,May,Sunday,2433
2011-05-30,2011,May,Monday,2549
2011-05-31,2011,May,Tuesday,3309
2011-06-01,2011,June,Wednesday,3461
2011-06-02,2011,June,Thursday,4232
2011-06-03,2011,June,Friday,4414
2011-06-04,2011,June,Saturday,3473
2011-06-05,2011,June,Sunday,3221
2011-06-06,2011,June,Monday,3875
2011-06-07,2011,June,Tuesday,4070
2011-06-08,2011,June,Wednesday,3725
2011-06-09,2011,June,Thursday,3352
2011-06-10,2011,June,Friday,3771
2011-06-11,2011,June,Saturday,3237
2011-06-12,2011,June,Sunday,2993
2011-06-13,2011,June,Monday,4157
2011-06-14,2011,June,Tuesday,4164
2011-06-15,2011,June,Wednesday,4411
2011-06-16,2011,June,Thursday,3222
2011-06-17,2011,June,Friday,3981
2011-06-18,2011,June,Saturday,3312
2011-06-19,2011,June,Sunday,3105
2011-06-20,2011,June,Monday,3311
2011-06-21,2011,June,Tuesday,4061
2011-06-22,2011,June,Wednesday,3846
2011-06-23,2011,June,Thursday,4044
2011-06-24,2011,June,Friday,4022
2011-06-25,2011,June,Saturday,3420
2011-06-26,2011,June,Sunday,3385
2011-06-27,2011,June,Monday,3854
2011-06-28,2011,June,Tuesday,3916
2011-06-29,2011,June,Wednesday,4377
2011-06-30,2011,June,Thursday,4488
2011-07-01,2011,July,Friday,4116
2011-07-02,2011,July,Saturday,2915
2011-07-03,2011,July,Sunday,2367
2011-07-04,2011,July,Monday,2978
2011-07-05,2011,July,Tuesday,3634
2011-07-06,2011,July,Wednesday,3845
2011-07-07,2011,July,Thursday,3838
2011-07-08,2011,July,Friday,3348
2011-07-09,2011,July,Saturday,3348
2011-07-10,2011,July,Sunday,3138
2011-07-11,2011,July,Monday,3363
2011-07-12,2011,July,Tuesday,3596
2011-07-13,2011,July,Wednesday,3594
2011-07-14,2011,July,Thursday,4196
2011-07-15,2011,July,Friday,4220
2011-07-16,2011,July,Saturday,3505
2011-07-17,2011,July,Sunday,3296
2011-07-18,2011,July,Monday,3617
2011-07-19,2011,July,Tuesday,3789
2011-07-20,2011,July,Wednesday,3688
2011-07-21,2011,July,Thursday,3152
2011-07-22,2011,July,Friday,2825
2011-07-23,2011,July,Saturday,2298
2011-07-24,2011,July,Sunday,2556
2011-07-25,2011,July,Monday,3272
2011-07-26,2011,July,Tuesday,3840
2011-07-27,2011,July,Wednesday,3901
2011-07-28,2011,July,Thursday,3784
2011-07-29,2011,July,Friday,3176
2011-07-30,2011,July,Saturday,2916
2011-07-31,2011,July,Sunday,2778
2011-08-01,2011,August,Monday,3537
2011-08-02,2011,August,Tuesday,4044
2011-08-03,2011,August,Wednesday,3107
2011-08-04,2011,August,Thursday,3777
2011-08-05,2011,August,Friday,3843
2011-08-06,2011,August,Saturday,2773
2011-08-07,2011,August,Sunday,2487
2011-08-08,2011,August,Monday,3480
2011-08-09,2011,August,Tuesday,3695
2011-08-10,2011,August,Wednesday,3896
2011-08-11,2011,August,Thursday,3980
2011-08-12,2011,August,Friday,3854
2011-08-13,2011,August,Saturday,2646
2011-08-14,2011,August,Sunday,2482
2011-08-15,2011,August,Monday,3563
2011-08-16,2011,August,Tuesday,4004
2011-08-17,2011,August,Wednesday,4026
2011-08-18,2011,August,Thursday,3166
2011-08-19,2011,August,Friday,3356
2011-08-20,2011,August,Saturday,3277
2011-08-21,2011,August,Sunday,2624
2011-08-22,2011,August,Monday,3925
2011-08-23,2011,August,Tuesday,4614
2011-08-24,2011,August,Wednesday,4181
2011-08-25,2011,August,Thursday,3107
2011-08-26,2011,August,Friday,3893
2011-08-27,2011,August,Saturday,889
2011-08-28,2011,August,Sunday,2919
2011-08-29,2011,August,Monday,3905
2011-08-30,2011,August,Tuesday,4429
2011-08-31,2011,August,Wednesday,4370
2011-09-01,2011,September,Thursday,4332
2011-09-02,2011,September,Friday,3852
2011-09-03,2011,September,Saturday,2549
2011-09-04,2011,September,Sunday,2419
2011-09-05,2011,September,Monday,2115
2011-09-06,2011,September,Tuesday,2506
2011-09-07,2011,September,Wednesday,1878
2011-09-08,2011,September,Thursday,1689
2011-09-09,2011,September,Friday,3127
2011-09-10,2011,September,Saturday,3595
2011-09-11,2011,September,Sunday,3413
2011-09-12,2011,September,Monday,4023
2011-09-13,2011,September,Tuesday,4062
2011-09-14,2011,September,Wednesday,4138
2011-09-15,2011,September,Thursday,3231
2011-09-16,2011,September,Friday,4018
2011-09-17,2011,September,Saturday,3077
2011-09-18,2011,September,Sunday,2921
2011-09-19,2011,September,Monday,3848
2011-09-20,2011,September,Tuesday,3203
2011-09-21,2011,September,Wednesday,3813
2011-09-22,2011,September,Thursday,4240
2011-09-23,2011,September,Friday,2137
2011-09-24,2011,September,Saturday,3647
2011-09-25,2011,September,Sunday,3466
2011-09-26,2011,September,Monday,3946
2011-09-27,2011,September,Tuesday,3643
2011-09-28,2011,September,Wednesday,3427
2011-09-29,2011,September,Thursday,4186
2011-09-30,2011,September,Friday,4372
2011-10-01,2011,October,Saturday,1949
2011-10-02,2011,October,Sunday,2302
2011-10-03,2011,October,Monday,3240
2011-10-04,2011,October,Tuesday,3970
2011-10-05,2011,October,Wednesday,4267
2011-10-06,2011,October,Thursday,4126
2011-10-07,2011,October,Friday,4036
2011-10-08,2011,October,Saturday,3174
2011-10-09,2011,October,Sunday,3114
2011-10-10,2011,October,Monday,3603
2011-10-11,2011,October,Tuesday,3896
2011-10-12,2011,October,Wednesday,2199
2011-10-13,2011,October,Thursday,2623
2011-10-14,2011,October,Friday,3115
2011-10-15,2011,October,Saturday,3318
2011-10-16,2011,October,Sunday,3293
2011-10-17,2011,October,Monday,3857
2011-10-18,2011,October,Tuesday,4111
2011-10-19,2011,October,Wednesday,2170
2011-10-20,2011,October,Thursday,3724
2011-10-21,2011,October,Friday,3628
2011-10-22,2011,October,Saturday,2809
2011-10-23,2011,October,Sunday,2762
2011-10-24,2011,October,Monday,3488
2011-10-25,2011,October,Tuesday,3992
2011-10-26,2011,October,Wednesday,3490
2011-10-27,2011,October,Thursday,2419
2011-10-28,2011,October,Friday,3291
2011-10-29,2011,October,Saturday,570
2011-10-30,2011,October,Sunday,2446
2011-10-31,2011,October,Monday,3307
2011-11-01,2011,November,Tuesday,3658
2011-11-02,2011,November,Wednesday,3816
2011-11-03,2011,November,Thursday,3656
2011-11-04,2011,November,Friday,3576
2011-11-05,2011,November,Saturday,2770
2011-11-06,2011,November,Sunday,2697
2011-11-07,2011,November,Monday,3662
2011-11-08,2011,November,Tuesday,3829
2011-11-09,2011,November,Wednesday,3804
2011-11-10,2011,November,Thursday,2743
2011-11-11,2011,November,Friday,2928
2011-11-12,2011,November,Saturday,2792
2011-11-13,2011,November,Sunday,2713
2011-11-14,2011,November,Monday,3891
2011-11-15,2011,November,Tuesday,3746
2011-11-16,2011,November,Wednesday,1672
2011-11-17,2011,November,Thursday,2914
2011-11-18,2011,November,Friday,3147
2011-11-19,2011,November,Saturday,2720
2011-11-20,2011,November,Sunday,2733
2011-11-21,2011,November,Monday,2545
2011-11-22,2011,November,Tuesday,1538
2011-11-23,2011,November,Wednesday,2454
2011-11-24,2011,November,Thursday,935
2011-11-25,2011,November,Friday,1697
2011-11-26,2011,November,Saturday,1819
2011-11-27,2011,November,Sunday,2261
2011-11-28,2011,November,Monday,3614
2011-11-29,2011,November,Tuesday,2818
2011-11-30,2011,November,Wednesday,3425
2011-12-01,2011,December,Thursday,3545
2011-12-02,2011,December,Friday,3672
2011-12-03,2011,December,Saturday,2908
2011-12-04,2011,December,Sunday,2851
2011-12-05,2011,December,Monday,3578
2011-12-06,2011,December,Tuesday,2468
2011-12-07,2011,December,Wednesday,655
2011-12-08,2011,December,Thursday,3172
2011-12-09,2011,December,Friday,3359
2011-12-10,2011,December,Saturday,2688
2011-12-11,2011,December,Sunday,2366
2011-12-12,2011,December,Monday,3167
2011-12-13,2011,December,Tuesday,3368
2011-12-14,2011,December,Wednesday,3562
2011-12-15,2011,December,Thursday,3528
2011-12-16,2011,December,Friday,3399
2011-12-17,2011,December,Saturday,2464
2011-12-18,2011,December,Sunday,2211
2011-12-19,2011,December,Monday,3143
2011-12-20,2011,December,Tuesday,3534
2011-12-21,2011,December,Wednesday,2553
2011-12-22,2011,December,Thursday,2841
2011-12-23,2011,December,Friday,2046
2011-12-24,2011,December,Saturday,856
2011-12-25,2011,December,Sunday,451
2011-12-26,2011,December,Monday,887
2011-12-27,2011,December,Tuesday,1059
2011-12-28,2011,December,Wednesday,2047
2011-12-29,2011,December,Thursday,2169
2011-12-30,2011,December,Friday,2508
2011-12-31,2011,December,Saturday,1820
